Row,algebraic_connectivity,average_distance,clique_number,diameter,maximum_degree,maximum_weighted_degree,number_of_edges,radius,skewness_weight,weighted_average_clustering
59e94279b43b4b2b9a81197ee0bc7bb8,0.064318584109373,2.25757575757576,3,4,3,2.47694457352307,18,3,-0.0580000390401395,0.138785901117053
d7383bb641054fc08b2fabc932c6c785,0.982043720747666,1.51515151515152,4,3,8,4.53558205714166,33,2,0.178110843554565,0.160936561395031
dbb30d924eaa49f5b3d67849f6ab47d0,0.0728471716715853,2.10606060606061,3,4,3,1.3352151465305,18,3,2.23851820044467,0.0276794637326107
8a9ce841936d4ca68441a258171423d4,0.424903022696506,1.45454545454545,3,2,8,2.81706571875989,36,2,2.09708076217151,0.0190270469852609
f3de29f3c81a414d897c6cb031079dd7,0,2.89393939393939,2,6,7,3.13618289468941,11,3,-0.586170289150957,0
d155d01ef07d45d9aa719ef468dde18b,0.128215545382699,1.96969696969697,2,3,3,1.69145003580403,18,3,0.626711435207811,0
bd0c97f534d94324b792e1522af3254f,0,2.28787878787879,2,4,8,1.04285776346099,11,2,2.80513071792369,0
0593f6e49b5842cdaa3eaf04fcc28853,0.23592867929102,1.77272727272727,3,2,11,5.97177896675274,15,1,-0.231823220168783,0.219202981396802
46e559b361e34b4f852dc547007f8893,1.07521621314049,1.59090909090909,4,3,7,5.25872807117275,30,2,-0.330034258453902,0.142131618351681
8d8f857205fd4b56afce4dbcf0584173,0.220526327204818,1.8030303030303,3,2,11,5.91352163869585,13,1,-0.127638169072803,0.0688678427637574
cff08c8827a84b869106f6dd35b7f082,0.101136512607451,2.15151515151515,3,4,3,1.6948843485552,18,3,1.36958239308229,0.0165469416675538
67e3908b1ed942b0847826ea739af091,0.444664331274111,2,4,5,6,5.0917842993825,24,3,-2.43849053231304,0.400115616657996
a14c753cf26f45ad9e93b70dbf6058b5,0.113593503406886,2.1969696969697,5,5,7,4.32502546684491,24,3,-0.396766282814887,0.225197075349621
945179d3a5da49f4978c7497f3385a59,0.0793584110326957,2.15151515151515,3,4,3,2.69349427445947,18,3,0.370736331573692,0.0714601887538069
380b09d29c3d47d3a523262c2b5db4d4,0.0314502746787254,2.15151515151515,3,4,3,1.56223039883906,18,3,2.15490161440031,0.0151193008939683
bbcde68102604de2a3036e102122594f,0,3.87878787878788,2,9,3,1.88552149966067,11,5,0.271834490701403,0
c442be74aa734601a178194e06ed9c07,0.480537600007608,1.27272727272727,7,2,11,3.95335973985645,48,1,1.5399440342233,0.139486604752342
c17a5da74ad640e5b4703d54768517f9,0.804531109216233,1.63636363636364,3,3,6,3.06989949210603,26,2,0.247379832579286,0.113598447353757
48b3803353e74ab6a0e6e0c0a0161141,0.124594046552142,2.06060606060606,3,4,3,2.03810961650876,18,3,1.52722256263433,0.0130030051342473
4002e564d8c6435ebbab7b288160686f,0.362496991187889,1.6969696969697,3,3,7,4.2438695762138,24,2,0.0483390163037419,0.128049427766687
6161b28cdf80458da027fd5b25c5906f,0.724618868278684,1.5,3,2,9,3.63097280697536,33,2,0.58152537324475,0.0443616878205672
1cfd53da5d7744aaa36549361c25c42d,0.85543307276319,2,2,3,3,2.81784444625488,18,3,-3.59998515436631,0
fc7513a0e40641f6a7162246a66c72b6,0.0129722733319341,1.78787878787879,3,2,11,1.30892695559862,14,1,3.11692307333293,0.042486527926924
10506a1a1a3a450ba19d9230c75d7156,0.180133912794583,1.54545454545455,4,2,11,4.30209561131251,30,1,0.708004495196599,0.187189102093158
002c0227661f434392e3110685f22be4,0,2.93939393939394,2,6,5,1.60327607691838,11,3,2.20743230004162,0
891b244312814f6785d3bf1234b5057e,5.50697048940601,1,12,1,11,7.36590644472675,66,1,-0.332924376245182,0.551633291492752
8268596ece33439e844fbb4d1d0a52d9,0.30995224199374,2.10606060606061,3,4,3,2.07297120952711,18,3,-0.682917132449417,0.0875932550934506
6a444f5eaad24bd7a159d51f657b258e,4.07436910394594,1,12,1,11,7.54617652861116,66,1,-0.152601861241436,0.442433020080879
59ddc7fe599c4c7fa960e733d481d26b,0.0846452825307119,2.21212121212121,3,4,3,2.16615989038752,18,3,0.104755340174832,0.0833607042892885
bfd1062f4a034d8c933d33d0e4315ac5,3.98368132252359,1,12,1,11,5.95408093138902,66,1,0.300209427374386,0.415717644079199
3f9ec1f688994de4a1da94a8322844ec,0.107598665062912,2.77272727272727,4,6,5,3.42670383305323,16,3,-1.08749318190262,0.249615501561644
d59525e3ce6f4be68ec4ded532cc2ee7,0.0151261904640203,1.81818181818182,3,2,11,2.75896247668072,12,1,1.6954004351489,0
d1007f8cff184c54b050dbf4804f1c19,0.147624392022564,1.72727272727273,3,3,6,3.44813004001465,24,2,0.019478602005646,0.127101615701702
faf194ebc50c47d9a34ed09972dd978d,0.381526343691445,1.60606060606061,4,3,8,5.50623663394542,28,2,0.215373630817335,0.113512847411429
360ed2d3b50945fe8a0fe57b282ab14d,0.268089868730446,1.59090909090909,2,2,9,2.75622532723837,27,2,1.84485286464546,0
2a51ea85d9f9450a9c018379a85d8cb2,0.119893527802624,1.53030303030303,5,3,8,1.77853149025892,33,2,1.98174626816234,0.0349195162580998
c5f2203385df4df6a4eef5a0978c0398,0.303514767301634,1,12,1,11,2.01723154001626,66,1,4.74568015039687,0.0427268602041548
79be1964f6f845959d271718641f53d4,0.360383135829647,1.77272727272727,3,3,6,3.41399390628338,24,2,-0.250037894069619,0.217630967373675
152d7f3771bc47429a15dccc57e95923,0.42834350943319,1.8030303030303,3,3,6,3.4331011500375,24,2,0.198145729533169,0.115748521348931
576d01402baf44e4bdbb6aad41345e4d,0.229734751382079,1.98484848484848,3,3,3,2.4119662506282,18,3,0.448290027761052,0.0714215651133327
d72da268da3f47f08b9ad654e4927ecf,0.43352041319945,1.77272727272727,4,3,7,3.43841590676778,24,2,-0.088203209749571,0.113938414468394
06934e13e2144459a526cb33e72a5fd9,0.352314388412917,1.74242424242424,3,3,6,2.65674876214253,24,2,0.253626691829013,0.116310824192368
8f44f677f87040f6a10769c5fd73f480,0.268185398714644,1.5,3,2,9,2.18325526420989,33,2,2.09904299704813,0.0037808105688483
47edcba37d4b4cf4a14a6400bb3ce4f0,0.396476527786349,1.53030303030303,4,3,7,1.95764664113926,32,2,1.78579926583496,0.0472177991606827
d881f476adff4659b54203655fc3f408,0.424884574119959,1.74242424242424,3,3,4,3.05691472308311,24,2,0.313346616380119,0.0520029980227694
8707a158d17441d5a826b509a3a2f748,0.839613770502181,1.66666666666667,4,2,11,9.03417846838465,22,1,-2.99866799422135,0.608241075642999
85d6e21e73a64423bbf0de3e93012d00,1.00650925549425,1.51515151515152,4,3,10,4.65922604615589,33,2,0.0689615846253111,0.213671566288483
ea4568290fa847898ca40c8ffc7abcc1,0.521924603035423,1.8030303030303,3,3,6,4.39608696052877,24,2,-0.528798671827113,0.198816498555231
fedba4cac9444a898a0ebbcfd371cb84,0,2.65151515151515,2,5,5,3.00204405600591,11,3,-0.57225644586151,0
2d1764c0a6f4448aaab6249c97a441ea,0.580585007365546,1.43939393939394,4,2,10,3.03731813570081,37,2,1.85757753121392,0.0631971956638516
0e97de6e0db5459488ba960d541e7919,0.425138825580957,2.01515151515152,3,3,3,2.36985975971243,18,3,-0.426370352653282,0.0204542970560753
