Row,z_1,z_2
bnd_pnt_1,-3.35965002467927,-0.514896665928373
bnd_pnt_2,-2.89638615956324,0.0747789775744216
bnd_pnt_3,-1.47902834770958,0.591763591858872
bnd_pnt_4,0.979880774042514,-0.717466493840338
bnd_pnt_5,1.22944663844835,-0.709996083180902
bnd_pnt_6,1.44328889717639,-0.868182239488073
bnd_pnt_7,0.971682243470025,-0.782241738958673
bnd_pnt_8,0.716354222992824,-0.82967455310688
bnd_pnt_9,0.557407979005564,-0.73063310398433
bnd_pnt_10,0.394948957235482,-0.898000901902803
bnd_pnt_11,0.256077720987628,-0.929191517701705
bnd_pnt_12,0.275239116518225,-1.20498898876316
bnd_pnt_13,0.126194159272846,-1.00972336978572
bnd_pnt_14,-0.430183174273882,-1.27364523676046
bnd_pnt_15,-0.728781979688693,-1.15579071759265
bnd_pnt_16,-1.09056849826003,-1.50388584378859
bnd_pnt_17,-1.22280463610672,-1.32220826078076
bnd_pnt_18,-1.55426391518004,-1.50078652412542
bnd_pnt_19,-1.74323381643902,-1.41556470265808
bnd_pnt_20,-1.59792120036933,-0.982062344500347
bnd_pnt_21,-1.84683997399612,-0.784575249467964
bnd_pnt_22,-1.92538868832753,-0.845840438097455
bnd_pnt_23,-2.18095995209689,-0.691830645709086
bnd_pnt_24,-2.58282003487162,-0.648030201920835
bnd_pnt_25,-2.72503489551193,-0.709730285912218
bnd_pnt_26,-2.84980932707455,-0.601181139336839
bnd_pnt_27,-3.05539794141168,-0.751650123839945
bnd_pnt_28,-2.87751121154424,-0.957391097649747
bnd_pnt_29,-3.12589525164674,-0.871688266281931
bnd_pnt_30,-3.30296767634162,-0.93630206226027
bnd_pnt_31,-3.20196729700857,-0.67210185350067
bnd_pnt_32,NaN,NaN
bnd_pnt_33,-1.16569342134229,-1.65048814800591
bnd_pnt_34,-1.09056849826003,-1.50388584378859
bnd_pnt_35,-0.983943971369198,-1.67989443399406
bnd_pnt_36,NaN,NaN
bnd_pnt_37,0.536592394607058,-1.29452583913284
bnd_pnt_38,0.275239116518225,-1.20498898876316
bnd_pnt_39,0.529619085095656,-1.08955150720049
bnd_pnt_40,0.748483906092214,-1.12889474732212
