Row,fixed_angles_constant,interp,qibpi,random,three_regular,tqa
59e94279b43b4b2b9a81197ee0bc7bb8,100000,1395,15,100000,15,90
d7383bb641054fc08b2fabc932c6c785,38,342,16,100000,28,25
dbb30d924eaa49f5b3d67849f6ab47d0,95,1095,77,100000,77,68
8a9ce841936d4ca68441a258171423d4,121,268,17,67,21,23
f3de29f3c81a414d897c6cb031079dd7,100000,819,31,100000,28,80
d155d01ef07d45d9aa719ef468dde18b,100000,501,214,100000,214,66
bd0c97f534d94324b792e1522af3254f,100000,100000,100000,100000,562,100000
0593f6e49b5842cdaa3eaf04fcc28853,100000,668,19,100000,42,112
46e559b361e34b4f852dc547007f8893,84,100000,35,180,63,36
8d8f857205fd4b56afce4dbcf0584173,171,655,30,100000,39,69
cff08c8827a84b869106f6dd35b7f082,97,386,106,205,106,52
67e3908b1ed942b0847826ea739af091,100000,100000,29,230,76,31
a14c753cf26f45ad9e93b70dbf6058b5,81,1129,15,100000,21,39
945179d3a5da49f4978c7497f3385a59,100000,505,16,100000,16,54
380b09d29c3d47d3a523262c2b5db4d4,242,2058,662,471,662,100000
bbcde68102604de2a3036e102122594f,99,315,16,82,14,46
c442be74aa734601a178194e06ed9c07,51,359,10,150,180,61
c17a5da74ad640e5b4703d54768517f9,100000,728,17,100000,32,54
48b3803353e74ab6a0e6e0c0a0161141,197,1381,16,100000,16,100
4002e564d8c6435ebbab7b288160686f,54,297,186,100000,38,42
6161b28cdf80458da027fd5b25c5906f,57,249,17,50,25,28
1cfd53da5d7744aaa36549361c25c42d,58,1436,100000,133,100000,29
fc7513a0e40641f6a7162246a66c72b6,146,1810,123,261,86,130
10506a1a1a3a450ba19d9230c75d7156,111,440,38,331,100000,35
002c0227661f434392e3110685f22be4,195,942,100000,455,37,362
891b244312814f6785d3bf1234b5057e,100000,100000,21,100000,42,33
8268596ece33439e844fbb4d1d0a52d9,100000,496,15,205,15,57
6a444f5eaad24bd7a159d51f657b258e,183,798,24,100000,100000,56
59ddc7fe599c4c7fa960e733d481d26b,180,608,17,191,17,140
bfd1062f4a034d8c933d33d0e4315ac5,100000,432,17,100000,100000,44
3f9ec1f688994de4a1da94a8322844ec,100000,1215,14,236,28,55
d59525e3ce6f4be68ec4ded532cc2ee7,199,904,24,289,100000,126
d1007f8cff184c54b050dbf4804f1c19,112,773,61,100000,17,43
faf194ebc50c47d9a34ed09972dd978d,100000,100000,24,100000,36,35
360ed2d3b50945fe8a0fe57b282ab14d,115,437,17,200,38,39
2a51ea85d9f9450a9c018379a85d8cb2,167,747,14,100000,17,66
c5f2203385df4df6a4eef5a0978c0398,164,939,15,100000,13,56
79be1964f6f845959d271718641f53d4,100000,1020,100000,100000,22,39
152d7f3771bc47429a15dccc57e95923,235,1652,18,100000,17,47
