Row,z_1,z_2
bnd_pnt_1,-3.25860266981378,7.19755720872724
bnd_pnt_2,-3.99467016100729,6.1512793467134
bnd_pnt_3,-5.84923824618902,2.8964519175608
bnd_pnt_4,-6.16185270993926,0.474550938856261
bnd_pnt_5,-6.17826464099335,0.0115404751274782
bnd_pnt_6,-6.14362466875006,-1.91196797938207
bnd_pnt_7,-3.37892724048802,-5.35560092579541
bnd_pnt_8,-2.2356258027236,-6.62838358702872
bnd_pnt_9,-0.934367883923555,-7.49118052645784
bnd_pnt_10,0.762170530362062,-8.23837330563964
bnd_pnt_11,2.86272244353383,-8.33293879082917
bnd_pnt_12,3.59878993472734,-7.28666092881533
bnd_pnt_13,5.45335801990907,-4.03183349966273
bnd_pnt_14,5.76597248365931,-1.60993252095819
bnd_pnt_15,5.7823844147134,-1.14692205722941
bnd_pnt_16,5.74774444247011,0.776586397280144
bnd_pnt_17,2.98304701420807,4.22021934369348
bnd_pnt_18,1.83974557644365,5.49300200492679
bnd_pnt_19,0.538487657643606,6.35579894435591
bnd_pnt_20,-1.15805075664201,7.10299172353771
bnd_pnt_21,-3.25860266981378,7.19755720872724
