Row,z_1,z_2
bnd_pnt_1,-3.35965002467927,-0.514896665928373
bnd_pnt_2,-2.89638615956324,0.0747789775744216
bnd_pnt_3,-1.47902834770958,0.591763591858872
bnd_pnt_4,-0.924986238162513,0.291220706422405
bnd_pnt_5,-1.39162623856236,-0.18946977612688
bnd_pnt_6,-2.18988356569027,-0.511154952510295
bnd_pnt_7,-2.18095995209689,-0.691830645709086
bnd_pnt_8,-2.58282003487162,-0.648030201920835
bnd_pnt_9,-2.72503489551193,-0.709730285912218
bnd_pnt_10,-2.84980932707455,-0.601181139336839
bnd_pnt_11,-3.05539794141168,-0.751650123839945
bnd_pnt_12,-2.87751121154424,-0.957391097649747
bnd_pnt_13,-3.12589525164674,-0.871688266281931
bnd_pnt_14,-3.30296767634162,-0.93630206226027
bnd_pnt_15,-3.20196729700857,-0.67210185350067
