Row,z_1,z_2
bnd_pnt_1,-0.526243322191637,2.38979237606543
bnd_pnt_2,-0.367243932537891,2.422469707834
bnd_pnt_3,-0.486559622690447,2.26470278840033
bnd_pnt_4,NaN,NaN
bnd_pnt_5,0.830604365614077,1.26648298415231
bnd_pnt_6,0.874589247832049,1.46769838964934
bnd_pnt_7,1.26659506691881,1.30107811574631
bnd_pnt_8,0.995019140893228,1.22174862558829
bnd_pnt_9,NaN,NaN
bnd_pnt_10,1.64452971820526,1.18959154767729
bnd_pnt_11,1.26659506691881,1.30107811574631
bnd_pnt_12,1.36510920182032,1.59793795248912
bnd_pnt_13,NaN,NaN
bnd_pnt_14,1.65987811601509,1.06656787838778
bnd_pnt_15,1.64452971820526,1.18959154767729
bnd_pnt_16,2.17749498311823,1.49137513917469
bnd_pnt_17,3.16299670131189,1.22123764918061
bnd_pnt_18,3.58486539938125,1.25850688914536
bnd_pnt_19,3.96964482108153,1.46157037551873
bnd_pnt_20,3.15800309489917,0.631830268311922
bnd_pnt_21,2.57492272302446,0.888595752959312
